xmlid,xmleventtypeid,xmlticker,xmleventdate,xmlfakeqtr,xmlcity,xmlcompanyname,xmlymd,xmlcalldate,gvkey,datadate,tic,cusip,conm,rdq,exchg,fic,no_of_days
12456222,1,**LEVI,9-Apr-19,Q1 2019,San Francisco,Levi Strauss & Co,20190409,9-Apr-19,,,,,,,,,
12289014,1,**LEVI,5-Feb-19,Q4 2018,San Francisco,Levi Strauss & Co,20190205,5-Feb-19,,,,,,,,,
12295223,1,**MTGA,7-Feb-19,Q1 2019,Uncasville,Mohegan Gaming & Entertain,20190207,7-Feb-19,,,,,,,,,
12405140,1,**NEIMAN,12-Mar-19,Q2 2019,DALLAS,Neiman Marcus Group Ltd LL,20190312,12-Mar-19,,,,,,,,,
12282047,1,**RURAL,25-Jan-19,Q2 2019,NAN,National Rural Utilities C,20190125,25-Jan-19,,,,,,,,,
12401870,1,7453,14-Mar-19,Full Ye,London,RTL Group SA,20190314,14-Mar-19,,,,,,,,,
12231572,1,111867,19-Mar-19,Q4 2018,HAMILTON,Wilson Sons Ltd,20190319,19-Mar-19,,,,,,,,,
12277310,1,000270.KS,25-Jan-19,Q4 2018,Seoul,Kia Motors Corp,20190125,25-Jan-19,,,,,,,,,
12470478,1,000660.KS,25-Apr-19,Q1 2019,Icheon,SK Hynix Inc,20190425,25-Apr-19,,,,,,,,,
12251713,1,000660.KS,24-Jan-19,Q4 2018,Icheon,SK Hynix Inc,20190124,24-Jan-19,,,,,,,,,
12273856,1,000810.KS,20-Feb-19,Q4 2018,Seoul,Samsung Fire & Marine Insu,20190220,20-Feb-19,,,,,,,,,
12424828,1,002202.SZ,1-Apr-19,Full Ye,"Urumqi, XNJ",Xinjiang Goldwind Science,20190401,1-Apr-19,,,,,,,,,
12264455,1,005930.KS,31-Jan-19,Q4 2018,Seoul,Samsung Electronics Co Ltd,20190131,31-Jan-19,,,,,,,,,
12268138,1,006400.KS,25-Jan-19,Q4 2018,Kyunggi-do,Samsung SDI Co Ltd,20190125,25-Jan-19,,,,,,,,,
12264076,1,009150.KS,29-Jan-19,Q4 2018,Greonggi-do,Samsung Electro-Mechanics,20190129,29-Jan-19,,,,,,,,,
12486763,1,010060.KS,24-Apr-19,Q1 2019,Seoul,OCI Co Ltd,20190424,24-Apr-19,,,,,,,,,
12283659,1,010060.KS,11-Feb-19,Q4 2018,Seoul,OCI Co Ltd,20190211,11-Feb-19,,,,,,,,,
12281200,1,010950.KS,28-Jan-19,Q4 2018,Seoul,S-Oil Corp,20190128,28-Jan-19,,,,,,,,,
12487011,1,010950.KS,24-Apr-19,Q1 2019,Seoul,S-Oil Corp,20190424,24-Apr-19,,,,,,,,,
12347383,1,015760.KS,22-Feb-19,Q4 2018,Seoul,Korea Electric Power Corp,20190222,22-Feb-19,,,,,,,,,
12283593,1,017670.KS,31-Jan-19,Q4 2018,Seoul,SK Telecom Co Ltd,20190131,31-Jan-19,,,,,,,,,
12285009,1,030200.KS,12-Feb-19,Q4 2018,Kyeonggi-Do,KT Corp,20190212,12-Feb-19,,,,,,,,,
12280085,1,032640.KS,29-Jan-19,Q4 2018,Seoul,LG Uplus Corp,20190129,29-Jan-19,,,,,,,,,
12290940,1,032830.KS,21-Feb-19,Q4 2018,"Chung-Gu, Seo",Samsung Life Insurance Co,20190221,21-Feb-19,,,,,,,,,
12473912,1,034220.KS,24-Apr-19,Q1 2019,Seoul,LG Display Co Ltd,20190424,24-Apr-19,,,,,,,,,
12273774,1,034220.KS,30-Jan-19,Q4 2018,Seoul,LG Display Co Ltd,20190130,30-Jan-19,,,,,,,,,
12471007,1,035420.KS,25-Apr-19,Q1 2019,Gyeonggi-do,Naver Corp,20190425,25-Apr-19,,,,,,,,,
12276425,1,035420.KS,31-Jan-19,Q4 2018,Gyeonggi-do,Naver Corp,20190131,31-Jan-19,,,,,,,,,
12280094,1,035720.KQ,14-Feb-19,Q4 2018,SEOUL,Kakao Corp,20190214,14-Feb-19,,,,,,,,,
12283718,1,036570.KS,12-Feb-19,Q4 2018,Seoul,NCSoft Corp,20190212,12-Feb-19,,,,,,,,,
12459355,1,051910.KS,24-Apr-19,Q1 2019,Seoul,LG Chem Ltd,20190424,24-Apr-19,,,,,,,,,
12259281,1,051910.KS,30-Jan-19,Q4 2018,Seoul,LG Chem Ltd,20190130,30-Jan-19,,,,,,,,,
12292608,1,055550.KS,12-Feb-19,Q4 2018,Seoul,Shinhan Financial Group Co,20190212,12-Feb-19,,,,,,,,,
12283543,1,066570.KS,1-Feb-19,Q4 2018,Seoul,LG Electronics Inc,20190201,1-Feb-19,,,,,,,,,
